DATE,MEDIAN HH INCOME
1/1/2004,65760
1/1/2005,66780
1/1/2006,67520
1/1/2007,68610
1/1/2008,66280
1/1/2009,65850
1/1/2010,64300
1/1/2011,63350
1/1/2012,63350
1/1/2013,65740
1/1/2014,64900
1/1/2015,68410
1/1/2016,70840
1/1/2017,72090
1/1/2018,73030
1/1/2019,78250
1/1/2020,76660
1/1/2021,76330
1/1/2022,74580
