DATE,POPULATION GROWTH
1/1/2004,0.925483969
1/1/2005,0.921713167
1/1/2006,0.964253917
1/1/2007,0.951055243
1/1/2008,0.945865287
1/1/2009,0.876651299
1/1/2010,0.829616675
1/1/2011,0.726786705
1/1/2012,0.733599941
1/1/2013,0.692860277
1/1/2014,0.73336152
1/1/2015,0.736217309
1/1/2016,0.724676067
1/1/2017,0.632643995
1/1/2018,0.526435396
1/1/2019,0.455381286
1/1/2020,0.9643479
1/1/2021,0.156747055
1/1/2022,0.377564531
